,assigned_by.username,assigned_to.username,create_at,finished,id,last_modified,order.code,order.customer_details.address,order.customer_details.email,order.customer_details.name,order.customer_details.phone,order.customer_type.customer_code,order.customer_type.customer_description,order.customer_type.customer_title,order.id,order.number_of_customer,order.service_type.for_family,order.service_type.service_code,order.service_type.service_description,order.service_type.service_fee,order.service_type.service_title,order.service_type.session_time_length,order.time_slot.date,order.time_slot.start_time,reminder,reported_customer_number
0,root,afa24fd342dc4de0,2017-12-14 16:42,False,2,2018-01-28 00:34,CD9QLPB,臺南市新化區,xinyii_lin@zhelang.com.tw,林欣儀,0926369705,hihih,合作機關建議項目,合作機關建議項目,18,5,False,DEARJ,汽車製程 ABC,0,汽車製程 ABC,2.00,2017-12-22,14:00,,
1,root,root,2017-12-14 16:43,False,3,2017-12-25 06:09,SYACDFU,"Room AS209, Incubation Center, No.123, Sec. 3, University Road",gloomcheng@mailinator.com,Fuyuan Cheng,918697537,hihih,合作機關建議項目,合作機關建議項目,6,8,False,DEARJ,汽車製程 ABC,0,汽車製程 ABC,2.00,2017-11-03,14:00,,
2,root,xinyii_lin,2017-12-17 09:32,False,4,2017-12-17 09:32,23AE48Z,臺南市新化區,sss86x7x5@yahoo.com.tw,林欣儀,0926369705,DearJ,學校團體建議項目,學校團體建議項目,15,4,True,DDDDD,工廠管理,0,工廠管理,1.50,2017-12-21,10:00,,
3,root,root,2017-12-19 14:18,False,5,2017-12-25 06:08,23X7OG2,雲林縣斗六市,sss86x7x5@yahoo.com.tw,xinyii,0926369705,DearJ,學校團體建議項目,學校團體建議項目,32,3,True,DDDDD,工廠管理,0,工廠管理,1.50,2017-12-20,10:00,,
4,root,afa24fd342dc4de0,2017-12-19 14:19,False,6,2017-12-19 14:19,7GM6OQ5,臺南市新化區,xinyiiilin@gmail.com,xinyii,0926369705,DIGIT,商務人士建議項目,商務人士建議項目,37,2,False,DEARJ,汽車製程 ABC,0,汽車製程 ABC,2.00,2017-12-20,14:00,,
5,root,GloomCheng,2017-12-19 17:10,False,7,2017-12-19 17:10,X0NAON7,臺南市新化區,sss86x7x5@yahoo.com.tw,林欣儀,0926369705,DearJ,學校團體建議項目,學校團體建議項目,41,1,True,DDDDD,工廠管理,0,工廠管理,1.50,2017-12-20,10:00,,
6,root,sss86x7x5@yahoo.com.tw,2017-12-19 17:11,False,8,2017-12-19 17:11,SYACDFU,"Room AS209, Incubation Center, No.123, Sec. 3, University Road",gloomcheng@mailinator.com,Fuyuan Cheng,918697537,hihih,合作機關建議項目,合作機關建議項目,6,8,False,DEARJ,汽車製程 ABC,0,汽車製程 ABC,2.00,2017-11-03,14:00,,
7,root,didierlin,2017-12-19 17:12,False,9,2018-01-17 04:21,SPR050U,臺南市新化區,sss86x7x5@yahoo.com.tw,林欣儀,0926369705,DearJ,學校團體建議項目,學校團體建議項目,38,2,True,DDDDD,工廠管理,0,工廠管理,1.50,2017-12-20,14:00,,
8,root,ChungWaiChung,2017-12-20 09:46,False,10,2017-12-25 06:09,1JFD7R4,臺南市新化區,sss86x7x5@yahoo.com.tw,xinyii_lin,0926369705,DIGIT,商務人士建議項目,商務人士建議項目,44,1,True,DDDDD,工廠管理,0,工廠管理,1.50,2017-12-20,14:00,,
9,root,GloomCheng,2017-12-20 19:09,False,11,2017-12-20 19:09,WECKDXT,adwadaw,zhelanghello@mailinator.com,assdcadw,053532235,PIKA,一般遊客建議項目,一般遊客建議項目,33,3,True,DDDDD,工廠管理,0,工廠管理,1.50,2017-12-20,10:00,,
